Date,Open,High,Low,Close,Profit/Loss,Trend
2011-06-17,0.8493,0.851,0.8438,0.8488,-0.0005,0
2011-06-20,0.8488,0.8518,0.8403,0.8466,-0.0022,0
2011-06-21,0.8466,0.846,0.8396,0.8408,-0.0058,0
2011-06-22,0.8408,0.8432,0.8337,0.8391,-0.0017,0
2011-06-23,0.8391,0.8438,0.8361,0.838,-0.0011,0
2011-06-24,0.838,0.8394,0.8336,0.8374,-0.0006,0
2011-06-27,0.8374,0.8384,0.8314,0.8358,-0.0016,0
2011-06-28,0.8358,0.8357,0.8271,0.8324,-0.0034,0
2011-06-29,0.8324,0.8368,0.8295,0.8349,0.0025,1
2011-06-30,0.8349,0.8463,0.8303,0.8401,0.0052,1
2011-07-01,0.8401,0.8525,0.8399,0.8483,0.0082,1
2011-07-04,0.8483,0.8503,0.846,0.8476,-0.0007,0
2011-07-05,0.8476,0.8506,0.8383,0.8407,-0.0069,0
2011-07-06,0.8407,0.8442,0.836,0.8397,-0.001,0
2011-07-07,0.8397,0.8495,0.8377,0.8443,0.0046,1
2011-07-08,0.8443,0.8519,0.8357,0.8371,-0.0072,0
2011-07-11,0.8371,0.8387,0.8326,0.8354,-0.0017,0
2011-07-12,0.8354,0.8397,0.8278,0.8308,-0.0046,0
2011-07-13,0.8308,0.833,0.8172,0.8177,-0.0131,0
2011-07-14,0.8177,0.8199,0.8082,0.8168,-0.0009,0
2011-07-15,0.8168,0.8191,0.8118,0.8127,-0.0041,0
2011-07-18,0.8127,0.8193,0.809,0.8178,0.0051,1
2011-07-19,0.8178,0.8277,0.8149,0.8242,0.0064,1
2011-07-20,0.8242,0.8254,0.8174,0.8196,-0.0046,0
2011-07-21,0.8196,0.8237,0.8155,0.8166,-0.003,0
2011-07-22,0.8166,0.8246,0.815,0.8176,0.001,1
2011-07-25,0.8176,0.8154,0.8017,0.8049,-0.0127,0
2011-07-26,0.8049,0.8071,0.7997,0.801,-0.0039,0
2011-07-27,0.801,0.8046,0.7989,0.8018,0.0008,1
2011-07-28,0.8018,0.805,0.7987,0.8021,0.0003,1
2011-07-29,0.8021,0.8035,0.785,0.7882,-0.0139,0
2011-08-01,0.7882,0.7951,0.7729,0.7829,-0.0053,0
2011-08-02,0.7829,0.7855,0.7639,0.7647,-0.0182,0
2011-08-03,0.7647,0.7787,0.7623,0.7685,0.0038,1
2011-08-04,0.7685,0.78,0.7651,0.7672,-0.0013,0
2011-08-05,0.7672,0.7738,0.7578,0.7656,-0.0016,0
2011-08-08,0.7656,0.765,0.7482,0.7549,-0.0107,0
2011-08-09,0.7549,0.7591,0.7085,0.718,-0.0369,0
2011-08-10,0.718,0.7323,0.7178,0.7277,0.0097,1
2011-08-11,0.7277,0.7686,0.7236,0.7622,0.0345,1
2011-08-12,0.7622,0.7786,0.7546,0.7765,0.0143,1
2011-08-15,0.7765,0.7997,0.7784,0.7846,0.0081,1
2011-08-16,0.7846,0.795,0.7767,0.7935,0.0089,1
2011-08-17,0.7935,0.8011,0.7822,0.7887,-0.0048,0
2011-08-18,0.7887,0.7986,0.7856,0.7934,0.0047,1
2011-08-19,0.7934,0.7959,0.7805,0.7865,-0.0069,0
2011-08-22,0.7865,0.7906,0.7835,0.79,0.0035,1
2011-08-23,0.79,0.7919,0.785,0.7912,0.0012,1
2011-08-24,0.7912,0.796,0.7873,0.795,0.0038,1
2011-08-25,0.795,0.7989,0.7908,0.7929,-0.0021,0
2011-08-26,0.7929,0.8157,0.7892,0.807,0.0141,1
2011-08-29,0.807,0.8239,0.8067,0.816,0.009,1
2011-08-30,0.816,0.8232,0.8119,0.8193,0.0033,1
2011-08-31,0.8193,0.8208,0.7992,0.8058,-0.0135,0
2011-09-01,0.8058,0.8086,0.7923,0.7942,-0.0116,0
2011-09-02,0.7942,0.7959,0.7708,0.7898,-0.0044,0
2011-09-05,0.7898,0.7912,0.7818,0.786,-0.0038,0
2011-09-06,0.786,0.8626,0.7837,0.8617,0.0757,1
2011-09-07,0.8617,0.8621,0.8536,0.859,-0.0027,0
2011-09-08,0.859,0.8768,0.8571,0.8744,0.0154,1
2011-09-09,0.8744,0.8863,0.8704,0.8829,0.0085,1
2011-09-12,0.8829,0.8925,0.8798,0.884,0.0011,1
